Census Tract,Rural~Urban,Access to Care,Employment Accessibility,Affordability,Air Quality,Population Churning,Education,Food Accessibility,Income Inequality,Job Participation,Population Density,Segregation,Material Deprivation,Walkability,Community Environment Profile,Consumer Opportunity Profile,Economic Opportunity Profile,Wellness Disparity Profile,Health Opportunity Index
51650011400,Urban,0.486042390065,0.015250696379,0.043043043043,0.730782012965,0.468193384224,0.630733967935,0.977517055329,0.034817813765,0.15,0.043334336443,0.77014050866,0,0.245824955,0.540011676,0.3907870747,0.0060344922,0.4098627882,0
51760040300,Urban,0.502986678293,0.042804217726,0.641641641642,0.35152781647,0.022900763359,0.871575269734,0.933302447075,0.082321187584,0.373,0.227476394535,0.639438403381,0.133458206717,0.307646854,0.7773186136,0.7646946546,0.033064077,0.4884953082,0.0155576602
51013101701,Urban,0.432197694756,0.131224296109,0.627627627628,0.80071147402,0.513994910941,0.853715680272,0.933302447075,0.395411605938,0.759,1,0.80104429762,0.34386320873,0.731265445,1,0.827283585,0.3264348979,0.3559316915,0.0328607707
51710002500,Urban,0.465814110072,0.041682600382,0.021021021021,0.754040206197,0.444020356234,0.697861795997,0.741324401278,0.258974358974,0.436,0.113065262461,0.919319828063,0.228860824288,0.321051675,0.5611434189,0.3025491579,0.1834965203,0.3194839973,0.077872642
51760040400,Urban,0.502986678293,0.084304932735,0.662662662663,0.382157715736,0.427480916031,0.800714466351,0.933302447075,0,0.551,0.231267482702,0.82268133012,0.184284068527,0.326225029,0.7191778656,0.7735192046,0.0759108179,0.3950978418,0.085121463
51013101403,Urban,0.466759579814,0.12285287528,0.660660660661,0.783266090623,0.582697201018,0.902432285197,0.933302447075,0.475168690958,0.779,0.850840557759,0.819581675449,0.386328482191,0.96601112,0.9794861595,0.8806763564,0.3464526406,0.3709901473,0.0914171972
51760030500,Urban,0.502986678293,0.078101955755,0.095095095095,0.318559398813,0.48727735369,0.826805758947,0.941391031565,0.067071524966,0.57,0.139732802685,0.657463037004,0.21983882247,0.355501422,0.6784513044,0.5567896217,0.0967279992,0.4793082954,0.0940731655
51710002600,Urban,0.464126324045,0.055761316872,0.103103103103,0.772861024955,0.412213740458,0.787143461132,0.853912054146,0.281511470985,0.5,0.110548974885,0.869243141885,0.237508742561,0.478808602,0.6113976252,0.4508619836,0.1897562176,0.343810928,0.1015642551
51680000600,Urban,0.348758377662,0.056908831909,0.179179179179,0.728651891965,0.530534351145,0.612450388365,0.519662725374,0.282726045884,0.526,0.067438950044,0.917100856656,0.196961576539,0.389167341,0.5333412597,0.1690579798,0.2476136253,0.2376142324,0.102881148
51003010902,Urban,0.663601736672,0.033116413594,0.191191191191,0.74816730879,0.178117048346,0.829619744151,0.983471485924,0.284615384615,0.303,0.161625392962,0.949074966938,0.338967390708,0.155925446,0.5873141367,0.5988830317,0.1197592881,0.444563394,0.104453837
51680001400,Urban,0.336592387743,0.014389736477,0.682682682683,0.737164910633,0.479643765903,0.653216715905,0.991410484337,0.175168690958,0.375,0.100826954703,0.883739116263,0.250534301367,0.086868678,0.4803104173,0.6940467175,0.0772034551,0.2459919033,0.1471639587
