pop2023,growthRate,area,Country,landAreaKm,density,densityMi,unemploymentByCountry_rateWb,unemploymentByCountry_rateIlo,unemploymentByCountry_rateCia
1428627663,0.00808,3287590,India,2973190,480.5033,1244.5036,4.7,5.3,8.5
1425671352,-0.00015,9706961,China,9424702.9,151.2696,391.7884,5.2,5.2,3.64
339996563,0.00505,9372610,United States,9147420,37.1686,96.2666,8.1,8.1,3.89
277534122,0.00738,1904569,Indonesia,1877519,147.8196,382.8528,4.3,4.3,5.31
240485658,0.01976,881912,Pakistan,770880,311.9625,807.9829,4.1,4.1,6
223804632,0.02408,923768,Nigeria,910770,245.7312,636.4439,8.5,8.5,16.5
216422446,0.00515,8515767,Brazil,8358140,25.8936,67.0645,13.7,13.7,11.93
172954319,0.01033,147570,Bangladesh,130170,1328.6803,3441.2821,4.4,4.4,4.4
144444359,-0.00186,17098242,Russia,16376870,8.82,22.8439,5.6,4.5,4.6
128455567,0.00746,1964375,Mexico,1943950,66.0797,171.1463,4.5,4.5,3.49
126527060,0.02551,1104300,Ethiopia,1128571.3,112.1126,290.3716,2.3,17.5,
123294513,-0.0053,377930,Japan,364500,338.2566,876.0845,2.8,2.8,2.36
117337368,0.01539,342353,Philippines,298170,393.5251,1019.2299,2.5,2.2,5.11
112716598,0.01556,1002450,Egypt,995450,113.2318,293.2704,7.8,7.8,7.86
102262808,0.03285,2344858,DR Congo,2267050,45.1083,116.8305,4.5,,
98858950,0.00685,331212,Vietnam,313429,315.411,816.9145,2.4,2.4,3.11
89172767,0.00703,1648195,Iran,1622500,54.9601,142.3467,9.7,10.7,11.8
85816199,0.00557,783562,Turkey,783562,109.5206,283.6584,13.1,13.1,13.68
83294633,-0.0009,357114,Germany,349390,238.4002,617.4564,3.8,3.8,4.98
71801279,0.00145,513120,Thailand,510890,140.5416,364.0026,1.1,0.7,0.99
67736802,0.00338,242900,United Kingdom,241930,279.9851,725.1615,3.7,3.7,3.17
67438106,0.02963,945087,Tanzania,885800,76.1324,197.183,2.1,2.1,10.3
64756584,0.00201,551695,France,547557,118.2646,306.3052,8,8,8.12
60414495,0.00869,1221037,South Africa,1213090,49.8022,128.9876,29.2,29.2,28.53
58870762,-0.00282,301336,Italy,295717,199.078,515.6121,9.2,9.2,9.88
55100586,0.01986,580367,Kenya,569140,96.8138,250.7477,5,5,40
54577997,0.00736,676578,Myanmar,652670,83.6227,216.5827,0.5,0.5,4
52085168,0.00407,1141748,Colombia,1109500,46.9447,121.5868,15,15,10.5
51784059,-0.00061,100210,South Korea,97600,530.5744,1374.1876,3.9,3.76,
48582334,0.02821,241550,Uganda,200520,242.2817,627.5097,10.1,9.9,9.4
48109006,0.02634,1886068,Sudan,1868000,25.7543,66.7036,17.4,19.6,
47519628,-0.00082,505992,Spain,499556.6,95.1236,246.3702,15.5,15.5,14.13
45773884,0.00579,2780400,Argentina,2736690,16.726,43.3203,11.5,9.8,9.84
45606480,0.01566,2381741,Algeria,2381741,19.1484,49.5943,13.6,13.6,11.7
45504560,0.02266,438317,Iraq,434128,104.8183,271.4794,13,13,16
42239854,0.02702,652230,Afghanistan,652230,64.7622,167.7341,11.7,11.2,23.9
41026067,0.02933,312679,Poland,306130,134.0152,347.0993,3.2,3.2,5.43
38781291,0.0085,9984670,Canada,8965590,4.3256,11.2032,9.5,9.5,5.67
37840044,0.0102,446550,Morocco,446300,84.7861,219.596,9.3,9.3,9.23
36947025,0.01478,2149690,Saudi Arabia,2149690,17.1871,44.5147,7.4,6,6
36744634,-0.07448,603500,Ukraine,579400,63.4184,164.2537,9.5,8.2,8.89
36684202,0.03077,1246700,Angola,1246700,29.425,76.2109,9.6,9.6,6.6
35163944,0.01549,447400,Uzbekistan,440650,79.8002,206.6824,9,9,5
34449825,0.02235,527968,Yemen,527970,65.2496,168.9964,13.5,13.5,27
34352719,0.0089,1285216,Peru,1280000,26.8381,69.5106,7.4,7.1,6.58
34308525,0.01091,330803,Malaysia,328550,104.4241,270.4583,4.5,3.3,3.3
34121985,0.0193,238533,Ghana,227533,149.965,388.4093,4.2,4.2,11.9
33897354,0.02814,801590,Mozambique,786380,43.1056,111.6434,3.4,3.4,24.5
30896590,0.01143,147181,Nepal,143350,215.5325,558.2293,11.4,11.4,3
30325732,0.02411,587041,Madagascar,581800,52.124,135.0011,1.8,1.8,1.8
28873034,0.0253,322463,Ivory Coast,318000,90.7957,235.1609,3.3,3.3,9.4
28838499,0.01897,916445,Venezuela,882050,32.6949,84.6797,5,5.1,6.9
28647293,0.02625,475442,Cameroon,472710,60.6023,156.9598,3.5,3.5,4.3
27202843,0.03796,1267000,Niger,1266700,21.4754,55.6212,7.8,7.8,0.3
26439111,0.01,7692024,Australia,7692020,3.4372,8.9024,6.5,6.5,5.16
26160821,0.00351,120538,North Korea,120410,217.2645,562.7151,25.6,,
23923276,0.00125,36193,Taiwan,36197,660.9188,1711.7796,3.7,3.73,
23293698,0.03099,1240192,Mali,1220190,19.0902,49.4437,1.6,1.6,7.9
23251485,0.02548,272967,Burkina Faso,273600,84.9835,220.1073,4.7,4.7,77
23227014,0.0498,185180,Syria,183630,126.4881,327.6042,8.6,50,
21893579,0.00281,65610,Sri Lanka,61860,353.9214,916.6565,4.3,4.8,4.83
20931751,0.0258,118484,Malawi,94280,222.0169,575.0237,1.3,5.8,20.4
20569737,0.02758,752612,Zambia,743390,27.6702,71.6658,12.5,12,15
19892812,0.01188,238391,Romania,230080,86.4604,223.9325,5,5,3.06
19629590,0.00132,756102,Chile,743532,26.4005,68.3772,11.2,11.2,7.22
19606633,0.01076,2724900,Kazakhstan,2699700,7.2625,18.8099,4.9,4.8,4.8
18278568,0.03133,1284000,Chad,1259200,14.516,37.5965,1.1,1.1,
18190484,0.01053,276841,Ecuador,248360,73.2424,189.6978,6.1,6.1,5.71
18092026,0.01391,108889,Guatemala,107160,168.8319,437.2746,2.2,2.2,2.3
17763163,0.0258,196722,Senegal,192530,92.2618,238.958,2.9,3.6,48
17618299,0.00309,41850,Netherlands,33670,523.264,1355.2538,3.8,3.8,3.41
16944826,0.01056,181035,Cambodia,176520,95.9938,248.6239,1.2,0.1,0.3
16665409,0.02113,390757,Zimbabwe,386850,43.0798,111.5766,16.9,16.9,11.3
14190612,0.0239,245857,Guinea,245720,57.7511,149.5755,5,5,2.7
14094683,0.02308,26338,Rwanda,24670,571.3289,1479.7417,15.3,15.3,2.7
13712828,0.02696,112622,Benin,112760,121.6107,314.9718,1.5,1,
12458223,0.00826,163610,Tunisia,155360,80.1894,207.6905,15.1,15.1,15.5
